"customer_id","customer_name","payment_id","amount","payment_date","rental_id","rental_date","film_id","film_title","category","country"
341,"Peter Menard",17503,7.99,"2007-02-15 22:25:46.996577",1520,"2005-06-15 23:57:20",749,"Rules Human","Horror","Netherlands"
341,"Peter Menard",17504,1.99,"2007-02-16 17:23:14.996577",1778,"2005-06-16 18:54:48",552,"Majestic Floats","Documentary","Netherlands"
341,"Peter Menard",17505,7.99,"2007-02-16 22:41:45.996577",1849,"2005-06-17 00:13:19",551,"Maiden Home","New","Netherlands"
341,"Peter Menard",17506,2.99,"2007-02-19 19:39:56.996577",2829,"2005-06-19 21:11:30",445,"Hyde Doctor","Classics","Netherlands"
341,"Peter Menard",17507,7.99,"2007-02-20 17:31:48.996577",3130,"2005-06-20 19:03:22",563,"Massacre Usual","Games","Netherlands"
341,"Peter Menard",17508,5.99,"2007-02-21 12:33:49.996577",3382,"2005-06-21 14:05:23",26,"Annie Identity","Sci-Fi","Netherlands"
342,"Harold Martino",17509,5.99,"2007-02-17 23:58:17.996577",2190,"2005-06-18 01:29:51",961,"Wash Heavenly","Foreign","Brazil"
342,"Harold Martino",17510,5.99,"2007-02-20 02:11:44.996577",2914,"2005-06-20 03:43:18",527,"Lola Agent","Horror","Brazil"
342,"Harold Martino",17511,2.99,"2007-02-20 13:57:39.996577",3081,"2005-06-20 15:29:13",449,"Identity Lover","Sci-Fi","Brazil"
343,"Douglas Graf",17512,4.99,"2007-02-16 00:10:50.996577",1547,"2005-06-16 01:42:24",639,"Opposite Necklace","Family","Mexico"
343,"Douglas Graf",17513,6.99,"2007-02-16 01:15:33.996577",1564,"2005-06-16 02:47:07",30,"Anything Savannah","Horror","Mexico"
343,"Douglas Graf",17514,0.99,"2007-02-17 01:26:00.996577",1879,"2005-06-17 02:57:34",868,"Superfly Trip","Travel","Mexico"
343,"Douglas Graf",17515,0.99,"2007-02-17 04:32:51.996577",1922,"2005-06-17 06:04:25",545,"Madness Attacks","Foreign","Mexico"
343,"Douglas Graf",17516,6.99,"2007-02-18 18:26:38.996577",2461,"2005-06-18 19:58:12",16,"Alley Evolution","Foreign","Mexico"
343,"Douglas Graf",17517,8.99,"2007-02-20 07:03:29.996577",2980,"2005-06-20 08:35:03",69,"Beverly Outlaw","Sci-Fi","Mexico"
343,"Douglas Graf",17518,0.99,"2007-02-21 14:42:28.996577",3407,"2005-06-21 16:14:02",855,"Streak Ridgemont","Documentary","Mexico"
344,"Henry Billingsley",17519,3.99,"2007-02-15 10:54:44.996577",1341,"2005-06-15 12:26:18",738,"Rocketeer Mother","Foreign","Tonga"
344,"Henry Billingsley",17520,4.99,"2007-02-15 19:36:27.996577",1475,"2005-06-15 21:08:01",398,"Hanover Galaxy","Music","Tonga"
344,"Henry Billingsley",17521,0.99,"2007-02-16 14:00:38.996577",1731,"2005-06-16 15:32:12",809,"Slipper Fidelity","Sports","Tonga"
345,"Carl Artis",17522,0.99,"2007-02-15 01:26:17.996577",1210,"2005-06-15 02:57:51",1,"Academy Dinosaur","Documentary","Paraguay"
345,"Carl Artis",17523,4.99,"2007-02-15 18:34:15.996577",1457,"2005-06-15 20:05:49",159,"Closer Bang","Comedy","Paraguay"
345,"Carl Artis",17524,0.99,"2007-02-16 00:27:01.996577",1550,"2005-06-16 01:58:35",436,"Hours Rage","New","Paraguay"
345,"Carl Artis",17525,4.99,"2007-02-19 16:13:41.996577",2766,"2005-06-19 17:45:15",749,"Rules Human","Horror","Paraguay"
346,"Arthur Simpkins",17526,5.99,"2007-02-17 09:35:32.996577",1994,"2005-06-17 11:07:06",476,"Jason Trap","Family","Russian Federation"
346,"Arthur Simpkins",17527,2.99,"2007-02-21 12:02:45.996577",3372,"2005-06-21 13:34:19",906,"Tramp Others","Comedy","Russian Federation"
346,"Arthur Simpkins",17528,2.99,"2007-02-21 15:51:24.996577",3421,"2005-06-21 17:22:58",857,"Strictly Scarface","Comedy","Russian Federation"
347,"Ryan Salisbury",17529,8.99,"2007-02-16 12:40:18.996577",1711,"2005-06-16 14:11:52",61,"Beauty Grease","Drama","Latvia"
347,"Ryan Salisbury",17530,0.99,"2007-02-18 04:59:41.996577",2274,"2005-06-18 06:31:15",663,"Patient Sister","Classics","Latvia"
347,"Ryan Salisbury",17531,4.99,"2007-02-20 10:16:26.996577",3026,"2005-06-20 11:48:00",878,"Teen Apollo","Travel","Latvia"
347,"Ryan Salisbury",17532,8.99,"2007-02-20 14:33:08.996577",3092,"2005-06-20 16:04:42",946,"Virtual Spoilers","Family","Latvia"
347,"Ryan Salisbury",17533,7.99,"2007-02-21 07:33:16.996577",3326,"2005-06-21 09:04:50",229,"Devil Desire","Action","Latvia"
348,"Roger Quintanilla",17534,2.99,"2007-02-16 08:11:14.996577",1654,"2005-06-16 09:42:48",232,"Dirty Ace","Games","Taiwan"
348,"Roger Quintanilla",17535,8.99,"2007-02-17 12:47:26.996577",2041,"2005-06-17 14:19:00",170,"Command Darling","Foreign","Taiwan"
348,"Roger Quintanilla",17536,0.99,"2007-02-18 21:30:02.996577",2499,"2005-06-18 23:01:36",697,"Primary Glass","Action","Taiwan"
349,"Joe Gilliland",17537,2.99,"2007-02-15 00:11:12.996577",1197,"2005-06-15 01:42:46",835,"Spy Mile","Games","Philippines"
349,"Joe Gilliland",17538,0.99,"2007-02-15 22:47:06.996577",1523,"2005-06-16 00:18:40",149,"Christmas Moonshine","Children","Philippines"
349,"Joe Gilliland",17539,6.99,"2007-02-20 07:24:16.996577",2987,"2005-06-20 08:55:50",334,"Freddy Storm","Horror","Philippines"
349,"Joe Gilliland",17540,8.99,"2007-02-20 12:27:47.996577",3067,"2005-06-20 13:59:21",680,"Pinocchio Simon","Comedy","Philippines"
350,"Juan Fraley",17541,3.99,"2007-02-17 10:24:35.996577",2011,"2005-06-17 11:56:09",160,"Club Graffiti","Animation","Russian Federation"
350,"Juan Fraley",17542,0.99,"2007-02-19 06:31:38.996577",2619,"2005-06-19 08:03:12",402,"Harper Dying","Animation","Russian Federation"
350,"Juan Fraley",17543,2.99,"2007-02-20 13:42:06.996577",3079,"2005-06-20 15:13:40",462,"Insider Arizona","Music","Russian Federation"
350,"Juan Fraley",17544,0.99,"2007-02-20 23:08:05.996577",3206,"2005-06-21 00:39:39",475,"Japanese Run","Horror","Russian Federation"
351,"Jack Foust",17545,5.99,"2007-02-16 18:33:16.996577",1792,"2005-06-16 20:04:50",832,"Splash Gump","Family","Russian Federation"
351,"Jack Foust",17546,0.99,"2007-02-17 00:36:26.996577",1869,"2005-06-17 02:08:00",191,"Crooked Frogmen","Children","Russian Federation"
351,"Jack Foust",17547,2.99,"2007-02-19 15:38:50.996577",2759,"2005-06-19 17:10:24",150,"Cider Desire","Documentary","Russian Federation"
352,"Albert Crouse",17548,0.99,"2007-02-15 20:26:26.996577",1498,"2005-06-15 21:58:00",807,"Sleuth Orient","Games","Cameroon"
352,"Albert Crouse",17549,4.99,"2007-02-16 07:48:59.996577",1649,"2005-06-16 09:20:33",86,"Boogie Amelie","Music","Cameroon"
352,"Albert Crouse",17550,4.99,"2007-02-16 09:36:54.996577",1678,"2005-06-16 11:08:28",403,"Harry Idaho","Drama","Cameroon"
352,"Albert Crouse",17551,4.99,"2007-02-16 17:40:11.996577",1780,"2005-06-16 19:11:45",31,"Apache Divine","Family","Cameroon"
352,"Albert Crouse",17552,4.99,"2007-02-21 08:06:19.996577",3331,"2005-06-21 09:37:53",640,"Opus Ice","Foreign","Cameroon"
353,"Jonathan Scarborough",17553,2.99,"2007-02-15 11:58:56.996577",1359,"2005-06-15 13:30:30",690,"Pond Seattle","Animation","Mexico"
353,"Jonathan Scarborough",17554,7.99,"2007-02-17 05:16:57.996577",1928,"2005-06-17 06:48:31",757,"Sagebrush Clueless","Documentary","Mexico"
353,"Jonathan Scarborough",17555,6.99,"2007-02-21 01:07:57.996577",3233,"2005-06-21 02:39:31",774,"Searchers Wait","Comedy","Mexico"
354,"Justin Ngo",17556,0.99,"2007-02-15 20:16:44.996577",1491,"2005-06-15 21:48:18",186,"Craft Outfield","Drama","Brazil"
354,"Justin Ngo",17557,4.99,"2007-02-18 04:59:55.996577",2275,"2005-06-18 06:31:29",616,"National Story","Documentary","Brazil"
354,"Justin Ngo",17558,6.99,"2007-02-19 16:20:40.996577",2769,"2005-06-19 17:52:14",271,"Easy Gladiator","Action","Brazil"
354,"Justin Ngo",17559,2.99,"2007-02-20 18:13:11.996577",3139,"2005-06-20 19:44:45",761,"Santa Paris","Children","Brazil"
355,"Terry Grissom",17560,0.99,"2007-02-15 20:08:20.996577",1488,"2005-06-15 21:39:54",241,"Donnie Alley","Animation","Japan"
355,"Terry Grissom",17561,2.99,"2007-02-16 05:20:31.996577",1612,"2005-06-16 06:52:05",664,"Patriot Roman","Action","Japan"
356,"Gerald Fultz",17562,0.99,"2007-02-15 15:28:12.996577",1410,"2005-06-15 16:59:46",176,"Congeniality Quest","Sports","India"
